22: 1,6; 1,10; 1,12; 2,7; 2,8; 2,9; 3,7; 3,9; 3,10; 4,8; 4,9; 4,10; 5,8; 5,11; 5,12; 6,11; 6,12; 7,11
23: 1,6; 1,11; 1,12; 2,7; 2,8; 2,9; 3,7; 3,9; 3,10; 4,8; 4,9; 4,10; 5,8; 5,10; 5,11; 6,11; 6,12; 7,12
24: 1,6; 1,10; 1,12; 2,7; 2,8; 2,9; 3,7; 3,9; 3,11; 4,8; 4,9; 4,10; 5,8; 5,11; 5,12; 6,11; 6,12; 7,10
25: 1,6; 1,9; 1,10; 2,7; 2,8; 2,9; 3,7; 3,11; 3,12; 4,8; 4,10; 4,11; 5,8; 5,10; 5,12; 6,9; 6,11; 7,12
26: 1,6; 1,8; 1,9; 2,7; 2,10; 2,11; 3,7; 3,11; 3,12; 4,8; 4,9; 4,11; 5,9; 5,10; 5,12; 6,8; 6,10; 7,12
27: 1,6; 1,8; 1,9; 2,7; 2,11; 2,12; 3,7; 3,11; 3,12; 4,8; 4,9; 4,10; 5,9; 5,10; 5,11; 6,8; 6,10; 7,12
28: 1,6; 1,8; 1,9; 2,7; 2,10; 2,12; 3,7; 3,11; 3,12; 4,8; 4,10; 4,11; 5,9; 5,10; 5,11; 6,8; 6,9; 7,12
29: 1,6; 1,8; 1,12; 2,7; 2,8; 2,9; 3,7; 3,9; 3,10; 4,9; 4,10; 4,11; 5,10; 5,11; 5,12; 6,11; 6,12; 7,8
30: 1,6; 1,8; 1,12; 2,7; 2,8; 2,9; 3,7; 3,10; 3,12; 4,9; 4,10; 4,11; 5,9; 5,10; 5,11; 6,11; 6,12; 7,8
31: 1,6; 1,8; 1,9; 2,7; 2,8; 2,10; 3,7; 3,11; 3,12; 4,9; 4,10; 4,12; 5,10; 5,11; 5,12; 6,9; 6,11; 7,8
32: 1,6; 1,9; 1,10; 2,7; 2,8; 2,9; 3,7; 3,8; 3,9; 4,10; 4,11; 4,12; 5,10; 5,11; 5,12; 6,11; 6,12; 7,8
33: 1,6; 1,9; 1,10; 2,7; 2,8; 2,9; 3,7; 3,8; 3,11; 4,9; 4,10; 4,12; 5,10; 5,11; 5,12; 6,11; 6,12; 7,8
34: 1,6; 1,9; 1,10; 2,7; 2,8; 2,9; 3,7; 3,8; 3,11; 4,9; 4,11; 4,12; 5,10; 5,11; 5,12; 6,10; 6,12; 7,8
35: 1,6; 1,9; 1,10; 2,7; 2,8; 2,9; 3,7; 3,8; 3,11; 4,10; 4,11; 4,12; 5,10; 5,11; 5,12; 6,9; 6,12; 7,8
36: 1,6; 1,8; 1,9; 2,7; 2,9; 2,10; 3,7; 3,10; 3,12; 4,8; 4,9; 4,11; 5,10; 5,11; 5,12; 6,11; 6,12; 7,8
