16: 1,7; 1,8; 1,14; 2,8; 2,9; 2,10; 3,9; 3,10; 3,11; 4,9; 4,11; 4,12; 5,10; 5,12; 5,14; 6,11; 6,12; 6,13; 7,13; 7,14; 8,13
17: 1,7; 1,8; 1,14; 2,8; 2,9; 2,10; 3,9; 3,10; 3,12; 4,9; 4,11; 4,13; 5,10; 5,12; 5,13; 6,11; 6,12; 6,14; 7,13; 7,14; 8,11
18: 1,7; 1,8; 1,12; 2,8; 2,9; 2,10; 3,9; 3,10; 3,11; 4,9; 4,12; 4,13; 5,10; 5,13; 5,14; 6,12; 6,13; 6,14; 7,11; 7,14; 8,11
19: 1,7; 1,8; 1,11; 2,8; 2,9; 2,10; 3,9; 3,11; 3,12; 4,9; 4,13; 4,14; 5,10; 5,12; 5,13; 6,11; 6,13; 6,14; 7,10; 7,12; 8,14
20: 1,7; 1,8; 1,14; 2,8; 2,11; 2,12; 3,9; 3,10; 3,11; 4,9; 4,10; 4,11; 5,9; 5,12; 5,13; 6,10; 6,12; 6,14; 7,13; 7,14; 8,13
21: 1,7; 1,8; 1,9; 2,8; 2,9; 2,10; 3,10; 3,12; 3,13; 4,11; 4,12; 4,14; 5,11; 5,13; 5,14; 6,12; 6,13; 6,14; 7,9; 7,11; 8,10
22: 1,7; 1,8; 1,9; 2,8; 2,9; 2,10; 3,10; 3,12; 3,13; 4,11; 4,12; 4,14; 5,11; 5,13; 5,14; 6,12; 6,13; 6,14; 7,10; 7,11; 8,9
23: 1,7; 1,8; 1,9; 2,8; 2,9; 2,14; 3,10; 3,11; 3,12; 4,10; 4,11; 4,12; 5,11; 5,13; 5,14; 6,12; 6,13; 6,14; 7,10; 7,13; 8,9
24: 1,7; 1,8; 1,9; 2,8; 2,9; 2,14; 3,10; 3,11; 3,12; 4,10; 4,12; 4,13; 5,11; 5,13; 5,14; 6,12; 6,13; 6,14; 7,10; 7,11; 8,9
25: 1,7; 1,8; 1,9; 2,8; 2,10; 2,11; 3,9; 3,13; 3,14; 4,10; 4,11; 4,12; 5,10; 5,12; 5,13; 6,11; 6,12; 6,14; 7,13; 7,14; 8,9
26: 1,7; 1,8; 1,9; 2,8; 2,10; 2,11; 3,9; 3,12; 3,13; 4,10; 4,11; 4,12; 5,10; 5,13; 5,14; 6,11; 6,13; 6,14; 7,12; 7,14; 8,9
